Variable,Name,Short name,from,to,sign
PRW_VCD,Evaporation/Condensation,,water vapour,Cloud droplets,
PRV_REV,Rain evaporation,,water vapour,Cloud droplets,
PRR_WAU,Autoconversion,,cloud droplets,cloud droplets  ,
PRR_RCW,Accretion,,cloud droplets,rain,
PRR_RCS,Collection of snow by rain,,snow,rain,
PRR_RCG,Collection of graupel by rain,,rain,graupel  ,
PRR_GML,melting of graupel,,graupel,rain,
PRR_RCI,Collection of ice by rain,,cloud ice,rain,
PRI_INU,Ice nucleation,,water vapour,cloud ice,
PRI_IHM,Hallet-Mossop ,,Vapor,Water     ,
PRI_WFZ,Freezing of cloud droplets to ice,,Vapor,Water    ,
PRI_RFZ,Freezing of rain to ice,,Vapor,Water  ,
PRI_RCI,Rain collection of ice,,ice,rain,
PRI_IHA,Freezing of aqueous aerosols,,cloud water,cloud ice,
PRS_IAU,Autoconversion of cloud ice to snow,,cloud ice,snow,
PRS_SCI,Collection of ice by snow to graupel,,cloud ice,graupel  ,
PRS_RCS,Collection of snow by rain,,snow,rain,
PRS_SCW,Collection of cloud water by snow,,cloud droplets,snow,
PRS_SDE,Deposition/sublimation on snow,,water vapour,snow,
PRI_IDE,Deposition/sublimation on ice,,water vapour,cloud ice,
PRG_GDE,deposition/sublimation on graupel,,water vapour,graupel  ,
PRS_IHM,Hallet Mossop,,cloud ice,snow,
PRS_IDE,"Depostion on ice, to snow",,water vapour,snow,
PRG_SCW,Collection of cloud water by snow,,cloud droplets,snow,
PRG_RFZ,Freezing of rain to graupel,,rain,graupel  ,
PRG_GCW,Collection of cloud water by graupel,,cloud droplets,graupel  ,
PRG_RCI,Collection of ice by rain to graupel,,cloud ice,graupel  ,
PRG_RCS,Collection of ice by snow to graupel,,cloud ice,graupel  ,
PRG_RCG,Collection of rain by graupel,,rain,graupel  ,
PRG_IHM,Hallet-Mossop to grauel,,graupel,cloud ice,
